"clustering_method" "replicable_clusters" "non_replicable_clusters" "replicable_cells" "non_replicable_cells" "fraction_replicable_clusters" "fraction_replicable_cells" "clustering_name" "level"
"1" "Monocle.k_10" 12 196 10824 190754 0.0576923076923077 0.0536963359096727 "Monocle" "k_10"
"2" "Monocle.k_100" 18 70 35704 165874 0.204545454545455 0.177122503447797 "Monocle" "k_100"
"3" "Monocle.k_15" 8 157 7217 194361 0.0484848484848485 0.035802518131939 "Monocle" "k_15"
"4" "Monocle.k_20" 16 127 20191 181387 0.111888111888112 0.100164700512953 "Monocle" "k_20"
"5" "Monocle.k_25" 12 123 12124 189454 0.0888888888888889 0.0601454523807161 "Monocle" "k_25"
"6" "Monocle.k_30" 16 107 18748 182830 0.130081300813008 0.0930061812300945 "Monocle" "k_30"
"7" "Monocle.k_35" 16 99 23191 178387 0.139130434782609 0.115047276984592 "Monocle" "k_35"
"8" "Monocle.k_40" 16 98 21089 180489 0.140350877192982 0.104619551736797 "Monocle" "k_40"
"9" "Monocle.k_45" 16 92 22001 179577 0.148148148148148 0.109143854984175 "Monocle" "k_45"
"10" "Monocle.k_50" 16 88 28442 173136 0.153846153846154 0.141096746668783 "Monocle" "k_50"
"11" "Monocle.k_55" 16 90 25003 176575 0.150943396226415 0.124036353173461 "Monocle" "k_55"
"12" "Monocle.k_60" 16 85 24289 177289 0.158415841584158 0.120494299973211 "Monocle" "k_60"
"13" "Monocle.k_65" 18 78 34003 167575 0.1875 0.168684082588378 "Monocle" "k_65"
"14" "Monocle.k_70" 18 77 32619 168959 0.189473684210526 0.161818253976128 "Monocle" "k_70"
"15" "Monocle.k_75" 14 78 25343 176235 0.152173913043478 0.12572304517358 "Monocle" "k_75"
"16" "Monocle.k_80" 16 74 26536 175042 0.177777777777778 0.131641349750469 "Monocle" "k_80"
"17" "Monocle.k_85" 16 77 26569 175009 0.172043010752688 0.131805058091657 "Monocle" "k_85"
"18" "Monocle.k_90" 20 70 37811 163767 0.222222222222222 0.187575032989711 "Monocle" "k_90"
"19" "Monocle.k_95" 14 76 23270 178308 0.155555555555556 0.115439184831678 "Monocle" "k_95"
"20" "Seurat.0_3,100" 28 12 113887 87691 0.7 0.564977328875175 "Seurat" "0_3,100"
"21" "Seurat.0_3,30" 20 16 109094 92484 0.555555555555556 0.54119993253232 "Seurat" "0_3,30"
"22" "Seurat.0_3,50" 28 11 140078 61500 0.717948717948718 0.694907182331405 "Seurat" "0_3,50"
"23" "Seurat.0_4,100" 32 13 147401 54177 0.711111111111111 0.731235551498675 "Seurat" "0_4,100"
"24" "Seurat.0_4,30" 22 20 95559 106019 0.523809523809524 0.47405470835111 "Seurat" "0_4,30"
"25" "Seurat.0_4,50" 28 17 130040 71538 0.622222222222222 0.645110081457302 "Seurat" "0_4,50"
"26" "Seurat.0_5,100" 26 26 80584 120994 0.5 0.399765847463513 "Seurat" "0_5,100"
"27" "Seurat.0_5,30" 22 22 81430 120148 0.5 0.403962734028515 "Seurat" "0_5,30"
"28" "Seurat.0_5,50" 26 26 66829 134749 0.5 0.331529234341049 "Seurat" "0_5,50"
"29" "Seurat.0_6,100" 26 26 79691 121887 0.5 0.395335800533788 "Seurat" "0_6,100"
"30" "Seurat.0_6,30" 18 32 50061 151517 0.36 0.248345553582236 "Seurat" "0_6,30"
"31" "Seurat.0_6,50" 26 30 62869 138709 0.464285714285714 0.311884233398486 "Seurat" "0_6,50"
"32" "Seurat.0_7,100" 28 27 80158 121420 0.509090909090909 0.39765252160454 "Seurat" "0_7,100"
"33" "Seurat.0_7,30" 20 37 67183 134395 0.350877192982456 0.333285378364703 "Seurat" "0_7,30"
"34" "Seurat.0_7,50" 22 36 50603 150975 0.379310344827586 0.251034339064779 "Seurat" "0_7,50"
