"clustering_method" "replicable_clusters" "non_replicable_clusters" "replicable_cells" "non_replicable_cells" "fraction_replicable_clusters" "fraction_replicable_cells" "clustering_name" "level"
"1" "Monocle_0" 12 58 2976 9365 0.171428571428571 0.241147394862653 "Monocle_0" NA
"2" "Monocle_1" 12 56 2976 9365 0.176470588235294 0.241147394862653 "Monocle_1" NA
"3" "Monocle_10" 10 40 3238 9103 0.2 0.262377441050158 "Monocle_10" NA
"4" "Monocle_11" 10 38 3238 9103 0.208333333333333 0.262377441050158 "Monocle_11" NA
"5" "Monocle_12" 10 36 4068 8273 0.217391304347826 0.329632930880804 "Monocle_12" NA
"6" "Monocle_13" 12 32 4382 7959 0.272727272727273 0.355076574021554 "Monocle_13" NA
"7" "Monocle_14" 10 32 3320 9021 0.238095238095238 0.269021959322583 "Monocle_14" NA
"8" "Monocle_15" 10 30 3320 9021 0.25 0.269021959322583 "Monocle_15" NA
"9" "Monocle_16" 8 30 2209 10132 0.210526315789474 0.178996839802285 "Monocle_16" NA
"10" "Monocle_17" 10 26 3329 9012 0.277777777777778 0.269751235718337 "Monocle_17" NA
"11" "Monocle_18" 10 24 3329 9012 0.294117647058824 0.269751235718337 "Monocle_18" NA
"12" "Monocle_19" 10 22 3329 9012 0.3125 0.269751235718337 "Monocle_19" NA
"13" "Monocle_2" 10 56 2462 9879 0.151515151515152 0.199497609594036 "Monocle_2" NA
"14" "Monocle_20" 12 18 4901 7440 0.4 0.397131512843368 "Monocle_20" NA
"15" "Monocle_21" 10 18 4753 7588 0.357142857142857 0.385138967668746 "Monocle_21" NA
"16" "Monocle_22" 4 22 2197 10144 0.153846153846154 0.178024471274613 "Monocle_22" NA
"17" "Monocle_23" 4 20 2197 10144 0.166666666666667 0.178024471274613 "Monocle_23" NA
"18" "Monocle_24" 12 36 0 0 0.25 NA "Monocle_24" NA
"19" "Monocle_25" 10 40 0 0 0.2 NA "Monocle_25" NA
"20" "Monocle_26" 8 44 0 0 0.153846153846154 NA "Monocle_26" NA
"21" "Monocle_27" 8 46 0 0 0.148148148148148 NA "Monocle_27" NA
"22" "Monocle_28" 6 50 0 0 0.107142857142857 NA "Monocle_28" NA
"23" "Monocle_29" 8 50 0 0 0.137931034482759 NA "Monocle_29" NA
"24" "Monocle_3" 10 54 2462 9879 0.15625 0.199497609594036 "Monocle_3" NA
"25" "Monocle_30" 8 52 0 0 0.133333333333333 NA "Monocle_30" NA
"26" "Monocle_31" 8 54 0 0 0.129032258064516 NA "Monocle_31" NA
"27" "Monocle_32" 8 56 0 0 0.125 NA "Monocle_32" NA
"28" "Monocle_33" 8 58 0 0 0.121212121212121 NA "Monocle_33" NA
"29" "Monocle_4" 8 54 1922 10419 0.129032258064516 0.155741025848797 "Monocle_4" NA
"30" "Monocle_5" 6 54 1370 10971 0.1 0.111012073575885 "Monocle_5" NA
"31" "Monocle_6" 8 50 2241 10100 0.137931034482759 0.181589822542744 "Monocle_6" NA
"32" "Monocle_7" 8 48 2241 10100 0.142857142857143 0.181589822542744 "Monocle_7" NA
"33" "Monocle_8" 8 46 2468 9873 0.148148148148148 0.199983793857872 "Monocle_8" NA
"34" "Monocle_9" 10 42 3238 9103 0.192307692307692 0.262377441050158 "Monocle_9" NA
"35" "sc3_0" 16 61 3992 8349 0.207792207792208 0.323474596872215 "sc3_0" NA
"36" "sc3_1" 18 57 4762 7579 0.24 0.3858682440645 "sc3_1" NA
"37" "sc3_10" 16 41 4239 8102 0.280701754385965 0.34348918240013 "sc3_10" NA
"38" "sc3_11" 16 39 4254 8087 0.290909090909091 0.34470464305972 "sc3_11" NA
"39" "sc3_12" 12 41 3230 9111 0.226415094339623 0.261729195365043 "sc3_12" NA
"40" "sc3_13" 14 37 3710 8631 0.274509803921569 0.300623936471923 "sc3_13" NA
"41" "sc3_14" 14 35 3716 8625 0.285714285714286 0.301110120735759 "sc3_14" NA
"42" "sc3_15" 14 33 3716 8625 0.297872340425532 0.301110120735759 "sc3_15" NA
"43" "sc3_16" 14 31 4140 8201 0.311111111111111 0.335467142046836 "sc3_16" NA
"44" "sc3_17" 18 25 6283 6058 0.418604651162791 0.509115954946925 "sc3_17" NA
"45" "sc3_18" 16 25 5886 6455 0.390243902439024 0.47694676282311 "sc3_18" NA
"46" "sc3_19" 18 21 7945 4396 0.461538461538462 0.643788996029495 "sc3_19" NA
"47" "sc3_2" 18 55 4933 7408 0.246575342465753 0.399724495583826 "sc3_2" NA
"48" "sc3_20" 16 21 7777 4564 0.432432432432432 0.630175836642087 "sc3_20" NA
"49" "sc3_21" 12 23 4219 8122 0.342857142857143 0.341868568187343 "sc3_21" NA
"50" "sc3_22" 8 25 2711 9630 0.242424242424242 0.21967425654323 "sc3_22" NA
"51" "sc3_23" 8 23 3619 8722 0.258064516129032 0.293250141803744 "sc3_23" NA
"52" "sc3_24" 8 21 5936 6405 0.275862068965517 0.480998298355077 "sc3_24" NA
"53" "sc3_25" 4 23 1272 11069 0.148148148148148 0.103071063933231 "sc3_25" NA
"54" "sc3_26" 4 21 1272 11069 0.16 0.103071063933231 "sc3_26" NA
"55" "sc3_27" 4 19 1272 11069 0.173913043478261 0.103071063933231 "sc3_27" NA
"56" "sc3_28" 10 46 0 0 0.178571428571429 NA "sc3_28" NA
"57" "sc3_29" 12 46 0 0 0.206896551724138 NA "sc3_29" NA
"58" "sc3_3" 18 53 4933 7408 0.253521126760563 0.399724495583826 "sc3_3" NA
"59" "sc3_30" 14 46 0 0 0.233333333333333 NA "sc3_30" NA
"60" "sc3_31" 14 48 0 0 0.225806451612903 NA "sc3_31" NA
"61" "sc3_32" 14 50 0 0 0.21875 NA "sc3_32" NA
"62" "sc3_33" 14 52 0 0 0.212121212121212 NA "sc3_33" NA
"63" "sc3_34" 14 54 0 0 0.205882352941176 NA "sc3_34" NA
"64" "sc3_35" 14 56 0 0 0.2 NA "sc3_35" NA
"65" "sc3_36" 16 56 0 0 0.222222222222222 NA "sc3_36" NA
"66" "sc3_37" 20 54 0 0 0.27027027027027 NA "sc3_37" NA
"67" "sc3_4" 16 53 3942 8399 0.231884057971014 0.319423061340248 "sc3_4" NA
"68" "sc3_5" 14 53 3916 8425 0.208955223880597 0.317316262863625 "sc3_5" NA
"69" "sc3_6" 14 51 3916 8425 0.215384615384615 0.317316262863625 "sc3_6" NA
"70" "sc3_7" 16 47 4756 7585 0.253968253968254 0.385382059800664 "sc3_7" NA
"71" "sc3_8" 14 47 3824 8517 0.229508196721311 0.309861437484807 "sc3_8" NA
"72" "sc3_9" 12 47 3492 8849 0.203389830508475 0.282959241552548 "sc3_9" NA
"73" "Seurat_0" 18 33 4195 8146 0.352941176470588 0.339923831131999 "Seurat_0" NA
"74" "Seurat_1" 16 33 4126 8215 0.326530612244898 0.334332712097885 "Seurat_1" NA
"75" "Seurat_10" 14 17 7411 4930 0.451612903225806 0.600518596548092 "Seurat_10" NA
"76" "Seurat_11" 12 17 6824 5517 0.413793103448276 0.552953569402804 "Seurat_11" NA
"77" "Seurat_12" 8 16 0 0 0.333333333333333 NA "Seurat_12" NA
"78" "Seurat_13" 6 20 0 0 0.230769230769231 NA "Seurat_13" NA
"79" "Seurat_14" 12 16 0 0 0.428571428571429 NA "Seurat_14" NA
"80" "Seurat_15" 14 16 0 0 0.466666666666667 NA "Seurat_15" NA
"81" "Seurat_16" 20 12 0 0 0.625 NA "Seurat_16" NA
"82" "Seurat_17" 22 12 0 0 0.647058823529412 NA "Seurat_17" NA
"83" "Seurat_18" 22 14 0 0 0.611111111111111 NA "Seurat_18" NA
"84" "Seurat_19" 20 18 0 0 0.526315789473684 NA "Seurat_19" NA
"85" "Seurat_2" 18 29 4632 7709 0.382978723404255 0.375334251681387 "Seurat_2" NA
"86" "Seurat_20" 22 18 0 0 0.55 NA "Seurat_20" NA
"87" "Seurat_21" 22 20 0 0 0.523809523809524 NA "Seurat_21" NA
"88" "Seurat_3" 20 25 5120 7221 0.444444444444444 0.414877238473381 "Seurat_3" NA
"89" "Seurat_4" 20 23 5299 7042 0.465116279069767 0.429381735677822 "Seurat_4" NA
"90" "Seurat_5" 18 23 5089 7252 0.439024390243902 0.412365286443562 "Seurat_5" NA
"91" "Seurat_6" 16 23 4981 7360 0.41025641025641 0.403613969694514 "Seurat_6" NA
"92" "Seurat_7" 12 25 4363 7978 0.324324324324324 0.353536990519407 "Seurat_7" NA
"93" "Seurat_8" 14 21 5155 7186 0.4 0.417713313345758 "Seurat_8" NA
"94" "Seurat_9" 16 17 7767 4574 0.484848484848485 0.629365529535694 "Seurat_9" NA
