"clustering_method" "replicable_clusters" "non_replicable_clusters" "replicable_cells" "non_replicable_cells" "fraction_replicable_clusters" "fraction_replicable_cells" "clustering_name" "level"
"1" "Monocle.k_10" 10 94 965 11376 0.0961538461538462 0.0781946357669557 "Monocle" "k_10"
"2" "Monocle.k_100" 16 18 6093 6248 0.470588235294118 0.493720119925452 "Monocle" "k_100"
"3" "Monocle.k_105" 16 18 6222 6119 0.470588235294118 0.504173081597926 "Monocle" "k_105"
"4" "Monocle.k_110" 16 17 6126 6215 0.484848484848485 0.49639413337655 "Monocle" "k_110"
"5" "Monocle.k_115" 16 17 5863 6478 0.484848484848485 0.475083056478405 "Monocle" "k_115"
"6" "Monocle.k_120" 18 15 7036 5305 0.545454545454545 0.570132080058342 "Monocle" "k_120"
"7" "Monocle.k_125" 18 15 7071 5270 0.545454545454545 0.572968154930719 "Monocle" "k_125"
"8" "Monocle.k_130" 18 15 7027 5314 0.545454545454545 0.569402803662588 "Monocle" "k_130"
"9" "Monocle.k_135" 18 14 7003 5338 0.5625 0.567458066607244 "Monocle" "k_135"
"10" "Monocle.k_140" 16 14 7170 5171 0.533333333333333 0.580990195284013 "Monocle" "k_140"
"11" "Monocle.k_145" 14 16 5931 6410 0.466666666666667 0.48059314480188 "Monocle" "k_145"
"12" "Monocle.k_15" 6 79 972 11369 0.0705882352941176 0.078761850741431 "Monocle" "k_15"
"13" "Monocle.k_150" 14 15 6102 6239 0.482758620689655 0.494449396321206 "Monocle" "k_150"
"14" "Monocle.k_20" 12 67 2511 9830 0.151898734177215 0.203468114415363 "Monocle" "k_20"
"15" "Monocle.k_25" 12 58 2976 9365 0.171428571428571 0.241147394862653 "Monocle" "k_25"
"16" "Monocle.k_30" 16 47 3407 8934 0.253968253968254 0.276071631148205 "Monocle" "k_30"
"17" "Monocle.k_35" 14 48 3367 8974 0.225806451612903 0.272830402722632 "Monocle" "k_35"
"18" "Monocle.k_40" 12 48 2958 9383 0.2 0.239688842071145 "Monocle" "k_40"
"19" "Monocle.k_45" 10 43 3004 9337 0.188679245283019 0.243416254760554 "Monocle" "k_45"
"20" "Monocle.k_50" 10 40 2886 9455 0.2 0.233854630905113 "Monocle" "k_50"
"21" "Monocle.k_55" 10 40 2932 9409 0.2 0.237582043594522 "Monocle" "k_55"
"22" "Monocle.k_60" 12 33 3467 8874 0.266666666666667 0.280933473786565 "Monocle" "k_60"
"23" "Monocle.k_65" 14 31 4275 8066 0.311111111111111 0.346406287983146 "Monocle" "k_65"
"24" "Monocle.k_70" 10 32 2845 9496 0.238095238095238 0.2305323717689 "Monocle" "k_70"
"25" "Monocle.k_75" 14 25 5305 7036 0.358974358974359 0.429867919941658 "Monocle" "k_75"
"26" "Monocle.k_80" 18 22 6330 6011 0.45 0.512924398346973 "Monocle" "k_80"
"27" "Monocle.k_85" 18 19 6687 5654 0.486486486486487 0.541852362045215 "Monocle" "k_85"
"28" "Monocle.k_90" 16 19 6071 6270 0.457142857142857 0.491937444291386 "Monocle" "k_90"
"29" "Monocle.k_95" 16 19 5876 6465 0.457142857142857 0.476136455716717 "Monocle" "k_95"
"30" "SC3.-1" 12 43 3471 8870 0.218181818181818 0.281257596629122 "SC3" "-1"
"31" "SC3.-10" 18 19 6606 5735 0.486486486486487 0.535288874483429 "SC3" "-10"
"32" "SC3.-11" 20 15 7589 4752 0.571428571428571 0.614942063041893 "SC3" "-11"
"33" "SC3.-12" 16 17 6669 5672 0.484848484848485 0.540393809253707 "SC3" "-12"
"34" "SC3.-13" 16 15 6533 5808 0.516129032258065 0.529373632606758 "SC3" "-13"
"35" "SC3.-14" 24 5 11660 681 0.827586206896552 0.944818086054615 "SC3" "-14"
"36" "SC3.-15" 18 9 9189 3152 0.666666666666667 0.744591200064825 "SC3" "-15"
"37" "SC3.-16" 14 11 9035 3306 0.56 0.732112470626367 "SC3" "-16"
"38" "SC3.-17" 8 15 5376 6965 0.347826086956522 0.43562110039705 "SC3" "-17"
"39" "SC3.-18" 8 13 6723 5618 0.380952380952381 0.544769467628231 "SC3" "-18"
"40" "SC3.-19" 14 5 9427 2914 0.736842105263158 0.763876509196986 "SC3" "-19"
"41" "SC3.-2" 16 37 5014 7327 0.30188679245283 0.406287983145612 "SC3" "-2"
"42" "SC3.-20" 6 11 4269 8072 0.352941176470588 0.34592010371931 "SC3" "-20"
"43" "SC3.-21" 10 5 8701 3640 0.666666666666667 0.70504821327283 "SC3" "-21"
"44" "SC3.-22" 8 5 6757 5584 0.615384615384615 0.547524511789968 "SC3" "-22"
"45" "SC3.-23" 8 3 10814 1527 0.727272727272727 0.87626610485374 "SC3" "-23"
"46" "SC3.-24" 4 5 3950 8391 0.444444444444444 0.320071307025363 "SC3" "-24"
"47" "SC3.-25" 2 5 1975 10366 0.285714285714286 0.160035653512681 "SC3" "-25"
"48" "SC3.-3" 12 39 3807 8534 0.235294117647059 0.308483915403938 "SC3" "-3"
"49" "SC3.-4" 12 37 4546 7795 0.244897959183673 0.368365610566405 "SC3" "-4"
"50" "SC3.-5" 20 27 6169 6172 0.425531914893617 0.499878453934041 "SC3" "-5"
"51" "SC3.-6" 18 27 5723 6618 0.4 0.463738756988899 "SC3" "-6"
"52" "SC3.-7" 14 29 5209 7132 0.325581395348837 0.422088971720282 "SC3" "-7"
"53" "SC3.-8" 20 21 7481 4860 0.48780487804878 0.606190746292845 "SC3" "-8"
"54" "SC3.-9" 14 25 5265 7076 0.358974358974359 0.426626691516085 "SC3" "-9"
"55" "SC3.0" 18 39 5820 6521 0.315789473684211 0.471598735920914 "SC3" "0"
"56" "SC3.1" 14 45 3572 8769 0.23728813559322 0.289441698403695 "SC3" "1"
"57" "SC3.10" 16 61 3992 8349 0.207792207792208 0.323474596872215 "SC3" "10"
"58" "SC3.11" 10 69 2876 9465 0.126582278481013 0.23304432379872 "SC3" "11"
"59" "SC3.12" 18 63 3814 8527 0.222222222222222 0.309051130378413 "SC3" "12"
"60" "SC3.13" 14 69 2614 9727 0.168674698795181 0.211814277611215 "SC3" "13"
"61" "SC3.14" 14 71 2503 9838 0.164705882352941 0.202819868730249 "SC3" "14"
"62" "SC3.15" 14 73 3148 9193 0.160919540229885 0.255084677092618 "SC3" "15"
"63" "SC3.16" 16 73 3640 8701 0.179775280898876 0.29495178672717 "SC3" "16"
"64" "SC3.17" 18 73 4051 8290 0.197802197802198 0.328255408799935 "SC3" "17"
"65" "SC3.18" 16 77 2742 9599 0.172043010752688 0.222186208573049 "SC3" "18"
"66" "SC3.19" 14 81 3010 9331 0.147368421052632 0.24390243902439 "SC3" "19"
"67" "SC3.2" 16 45 4084 8257 0.262295081967213 0.330929422251033 "SC3" "2"
"68" "SC3.20" 20 77 3413 8928 0.206185567010309 0.276557815412041 "SC3" "20"
"69" "SC3.3" 14 49 4093 8248 0.222222222222222 0.331658698646787 "SC3" "3"
"70" "SC3.4" 18 47 4175 8166 0.276923076923077 0.338303216919212 "SC3" "4"
"71" "SC3.5" 18 49 4228 8113 0.26865671641791 0.342597844583097 "SC3" "5"
"72" "SC3.6" 14 55 3853 8488 0.202898550724638 0.312211328093347 "SC3" "6"
"73" "SC3.7" 12 59 3556 8785 0.169014084507042 0.288145207033466 "SC3" "7"
"74" "SC3.8" 10 63 2381 9960 0.136986301369863 0.19293412203225 "SC3" "8"
"75" "SC3.9" 16 59 3770 8571 0.213333333333333 0.305485779110283 "SC3" "9"
"76" "Seurat.0_3,100" 20 6 10365 1976 0.769230769230769 0.839883315776679 "Seurat" "0_3,100"
"77" "Seurat.0_3,30" 20 7 10431 1910 0.740740740740741 0.845231342678875 "Seurat" "0_3,30"
"78" "Seurat.0_3,50" 22 5 11602 739 0.814814814814815 0.940118304837533 "Seurat" "0_3,50"
"79" "Seurat.0_4,100" 22 7 10733 1608 0.758620689655172 0.869702617291954 "Seurat" "0_4,100"
"80" "Seurat.0_4,30" 18 15 7653 4688 0.545454545454545 0.62012802852281 "Seurat" "0_4,30"
"81" "Seurat.0_4,50" 22 11 9375 2966 0.666666666666667 0.75966291224374 "Seurat" "0_4,50"
"82" "Seurat.0_5,100" 22 9 10142 2199 0.709677419354839 0.821813467304108 "Seurat" "0_5,100"
"83" "Seurat.0_5,30" 18 18 7625 4716 0.5 0.617859168624909 "Seurat" "0_5,30"
"84" "Seurat.0_5,50" 20 15 8447 3894 0.571428571428571 0.68446641277044 "Seurat" "0_5,50"
"85" "Seurat.0_6,100" 20 13 9442 2899 0.606060606060606 0.765091969856576 "Seurat" "0_6,100"
"86" "Seurat.0_6,30" 18 18 7360 4981 0.5 0.596386030305486 "Seurat" "0_6,30"
"87" "Seurat.0_6,50" 18 19 7600 4741 0.486486486486487 0.615833400858926 "Seurat" "0_6,50"
"88" "Seurat.0_7,100" 22 15 9612 2729 0.594594594594595 0.778867190665262 "Seurat" "0_7,100"
"89" "Seurat.0_7,30" 18 19 7355 4986 0.486486486486487 0.595980876752289 "Seurat" "0_7,30"
"90" "Seurat.0_7,50" 18 21 7307 5034 0.461538461538462 0.592091402641601 "Seurat" "0_7,50"
"91" "Seurat.0_8,100" 22 15 9615 2726 0.594594594594595 0.77911028279718 "Seurat" "0_8,100"
"92" "Seurat.0_8,30" 18 21 7001 5340 0.461538461538462 0.567296005185965 "Seurat" "0_8,30"
