"clustering_method" "replicable_clusters" "non_replicable_clusters" "replicable_cells" "non_replicable_cells" "fraction_replicable_clusters" "fraction_replicable_cells" "clustering_name" "level"
"1" "Monocle.k_10" 14 122 7458 77136 0.102941176470588 0.0881622810128378 "Monocle" "k_10"
"2" "Monocle.k_100" 10 40 12386 72208 0.2 0.146417003569993 "Monocle" "k_100"
"3" "Monocle.k_15" 12 93 8667 75927 0.114285714285714 0.102454074757075 "Monocle" "k_15"
"4" "Monocle.k_20" 8 85 6405 78189 0.0860215053763441 0.0757145896872119 "Monocle" "k_20"
"5" "Monocle.k_25" 16 70 14259 70335 0.186046511627907 0.168558053762678 "Monocle" "k_25"
"6" "Monocle.k_30" 16 60 13799 70795 0.210526315789474 0.163120315861645 "Monocle" "k_30"
"7" "Monocle.k_35" 18 55 17539 67055 0.246575342465753 0.207331489230915 "Monocle" "k_35"
"8" "Monocle.k_40" 14 55 14384 70210 0.202898550724638 0.170035699931437 "Monocle" "k_40"
"9" "Monocle.k_45" 12 51 12158 72436 0.19047619047619 0.143721776958177 "Monocle" "k_45"
"10" "Monocle.k_50" 14 48 14316 70278 0.225806451612903 0.169231860415632 "Monocle" "k_50"
"11" "Monocle.k_55" 12 51 12496 72098 0.19047619047619 0.147717332198501 "Monocle" "k_55"
"12" "Monocle.k_60" 12 46 13784 70810 0.206896551724138 0.162942998321394 "Monocle" "k_60"
"13" "Monocle.k_65" 10 45 9353 75241 0.181818181818182 0.110563396931224 "Monocle" "k_65"
"14" "Monocle.k_70" 10 45 12230 72364 0.181818181818182 0.144572901151382 "Monocle" "k_70"
"15" "Monocle.k_75" 10 43 12691 71903 0.188679245283019 0.150022460221765 "Monocle" "k_75"
"16" "Monocle.k_80" 14 37 17550 67044 0.274509803921569 0.207461522093766 "Monocle" "k_80"
"17" "Monocle.k_85" 14 39 14450 70144 0.264150943396226 0.170815897108542 "Monocle" "k_85"
"18" "Monocle.k_90" 14 36 14832 69762 0.28 0.17533158380027 "Monocle" "k_90"
"19" "Monocle.k_95" 12 37 13982 70612 0.244897959183673 0.165283589852708 "Monocle" "k_95"
"20" "Seurat.0_3,100" 24 6 70238 14356 0.8 0.830295292810365 "Seurat" "0_3,100"
"21" "Seurat.0_3,30" 20 7 68026 16568 0.740740740740741 0.804146866208005 "Seurat" "0_3,30"
"22" "Seurat.0_3,50" 24 7 68425 16169 0.774193548387097 0.808863512778684 "Seurat" "0_3,50"
"23" "Seurat.0_4,100" 24 9 68063 16531 0.727272727272727 0.804584249473958 "Seurat" "0_4,100"
"24" "Seurat.0_4,30" 28 5 80625 3969 0.848484848484849 0.953081778849564 "Seurat" "0_4,30"
"25" "Seurat.0_4,50" 28 6 83797 797 0.823529411764706 0.990578528027993 "Seurat" "0_4,50"
"26" "Seurat.0_5,100" 22 12 48117 36477 0.647058823529412 0.56879920561742 "Seurat" "0_5,100"
"27" "Seurat.0_5,30" 28 6 71808 12786 0.823529411764706 0.848854528689978 "Seurat" "0_5,30"
"28" "Seurat.0_5,50" 26 9 60757 23837 0.742857142857143 0.718218786202331 "Seurat" "0_5,50"
"29" "Seurat.0_6,100" 22 12 48069 36525 0.647058823529412 0.568231789488616 "Seurat" "0_6,100"
"30" "Seurat.0_6,30" 26 10 63519 21075 0.722222222222222 0.75086885594723 "Seurat" "0_6,30"
"31" "Seurat.0_6,50" 26 10 60625 23969 0.722222222222222 0.716658391848122 "Seurat" "0_6,50"
"32" "Seurat.0_7,100" 24 12 48077 36517 0.666666666666667 0.568326358843417 "Seurat" "0_7,100"
"33" "Seurat.0_7,30" 28 8 65079 19515 0.777777777777778 0.769309880133343 "Seurat" "0_7,30"
"34" "Seurat.0_7,50" 26 12 56552 28042 0.684210526315789 0.668510769085278 "Seurat" "0_7,50"
"35" "Seurat.0_8,100" 22 16 30062 54532 0.578947368421053 0.355367993001868 "Seurat" "0_8,100"
"36" "Seurat.0_8,30" 22 16 38555 46039 0.578947368421053 0.45576518429203 "Seurat" "0_8,30"
"37" "Seurat.0_8,50" 24 15 45769 38825 0.615384615384615 0.54104309998345 "Seurat" "0_8,50"
"38" "Seurat.0_9,100" 26 13 45793 38801 0.666666666666667 0.541326808047852 "Seurat" "0_9,100"
"39" "Seurat.0_9,30" 24 15 42465 42129 0.615384615384615 0.501985956450812 "Seurat" "0_9,30"
"40" "Seurat.0_9,50" 26 14 48854 35740 0.65 0.577511407428423 "Seurat" "0_9,50"
"41" "Seurat.1_1,100" 28 12 49245 35349 0.7 0.582133484644301 "Seurat" "1_1,100"
"42" "Seurat.1_1,30" 26 18 40658 43936 0.590909090909091 0.480625103435232 "Seurat" "1_1,30"
"43" "Seurat.1_1,50" 26 18 42058 42536 0.590909090909091 0.497174740525333 "Seurat" "1_1,50"
"44" "Seurat.1_2,100" 26 15 45591 39003 0.634146341463415 0.538938931839138 "Seurat" "1_2,100"
"45" "Seurat.1_2,30" 26 19 31325 53269 0.577777777777778 0.370298129891009 "Seurat" "1_2,30"
"46" "Seurat.1_2,50" 24 21 31615 52979 0.533333333333333 0.37372626900253 "Seurat" "1_2,50"
"47" "Seurat.1_3,100" 26 15 45567 39027 0.634146341463415 0.538655223774736 "Seurat" "1_3,100"
"48" "Seurat.1_3,30" 24 24 30222 54372 0.5 0.357259380097879 "Seurat" "1_3,30"
"49" "Seurat.1_3,50" 24 21 31304 53290 0.533333333333333 0.370049885334657 "Seurat" "1_3,50"
"50" "Seurat.1_4,100" 26 16 45531 39063 0.619047619047619 0.538229661678133 "Seurat" "1_4,100"
"51" "Seurat.1_4,30" 24 25 24756 59838 0.489795918367347 0.292644868430385 "Seurat" "1_4,30"
"52" "Seurat.1_4,50" 24 25 31846 52748 0.489795918367347 0.376456959122396 "Seurat" "1_4,50"
"53" "Seurat.1_5,100" 28 16 43937 40657 0.636363636363636 0.519386717734118 "Seurat" "1_5,100"
"54" "Seurat.1_5,30" 24 26 24344 60250 0.48 0.287774546658155 "Seurat" "1_5,30"
"55" "Seurat.1_5,50" 24 28 28184 56410 0.461538461538462 0.333167836962432 "Seurat" "1_5,50"
"56" "Seurat.1_6,100" 24 22 41934 42660 0.521739130434783 0.495708915525924 "Seurat" "1_6,100"
"57" "Seurat.1_6,30" 22 28 22860 61734 0.44 0.270231931342648 "Seurat" "1_6,30"
"58" "Seurat.1_6,50" 24 30 25350 59244 0.444444444444444 0.299666643024328 "Seurat" "1_6,50"
"59" "Seurat.1_7,100" 26 21 33649 50945 0.553191489361702 0.397770527460576 "Seurat" "1_7,100"
"60" "Seurat.1_7,30" 26 30 27963 56631 0.464285714285714 0.330555358536066 "Seurat" "1_7,30"
"61" "Seurat.1_7,50" 26 29 28192 56402 0.472727272727273 0.333262406317233 "Seurat" "1_7,50"
"62" "Seurat.1_8,100" 26 23 37263 47331 0.530612244897959 0.440492233491737 "Seurat" "1_8,100"
"63" "Seurat.1_8,30" 26 32 25684 58910 0.448275862068966 0.303614913587252 "Seurat" "1_8,30"
"64" "Seurat.1_8,50" 28 27 30012 54582 0.509090909090909 0.354776934534364 "Seurat" "1_8,50"
"65" "Seurat.1_9,100" 28 26 36075 48519 0.518518518518518 0.426448684303851 "Seurat" "1_9,100"
"66" "Seurat.1_9,30" 24 34 25764 58830 0.413793103448276 0.304560607135258 "Seurat" "1_9,30"
"67" "Seurat.1_9,50" 22 36 24265 60329 0.379310344827586 0.2868406742795 "Seurat" "1_9,50"
"68" "Seurat.1,100" 26 14 45654 38940 0.65 0.539683665508192 "Seurat" "1,100"
"69" "Seurat.1,30" 26 16 40889 43705 0.619047619047619 0.483355793555098 "Seurat" "1,30"
"70" "Seurat.1,50" 28 14 54593 30001 0.666666666666667 0.645353098328487 "Seurat" "1,50"
"71" "Seurat.2_1,100" 26 30 29912 54682 0.464285714285714 0.353594817599357 "Seurat" "2_1,100"
"72" "Seurat.2_1,30" 22 39 21247 63347 0.360655737704918 0.251164385180982 "Seurat" "2_1,30"
"73" "Seurat.2_1,50" 24 38 25459 59135 0.387096774193548 0.300955150483486 "Seurat" "2_1,50"
"74" "Seurat.2_2,100" 30 28 35033 49561 0.517241379310345 0.414131025841076 "Seurat" "2_2,100"
"75" "Seurat.2_2,30" 24 39 23934 60660 0.380952380952381 0.282927867224626 "Seurat" "2_2,30"
"76" "Seurat.2_2,50" 16 51 13235 71359 0.238805970149254 0.156453176348204 "Seurat" "2_2,50"
"77" "Seurat.2_3,100" 26 36 29348 55246 0.419354838709677 0.346927678085916 "Seurat" "2_3,100"
"78" "Seurat.2_3,30" 26 39 23728 60866 0.4 0.280492706338511 "Seurat" "2_3,30"
"79" "Seurat.2_3,50" 18 48 16672 67922 0.272727272727273 0.197082535404402 "Seurat" "2_3,50"
"80" "Seurat.2_4,100" 28 35 26457 58137 0.444444444444444 0.312752677494858 "Seurat" "2_4,100"
"81" "Seurat.2_4,30" 24 43 21042 63552 0.358208955223881 0.248741045464217 "Seurat" "2_4,30"
"82" "Seurat.2_4,50" 18 51 16280 68314 0.260869565217391 0.192448637019174 "Seurat" "2_4,50"
"83" "Seurat.2_5,100" 26 38 25879 58715 0.40625 0.305920041610516 "Seurat" "2_5,100"
"84" "Seurat.2_5,30" 20 50 17284 67310 0.285714285714286 0.204317091046646 "Seurat" "2_5,30"
"85" "Seurat.2_5,50" 20 52 16278 68316 0.277777777777778 0.192424994680474 "Seurat" "2_5,50"
"86" "Seurat.2,100" 28 28 35789 48805 0.5 0.423067829869731 "Seurat" "2,100"
"87" "Seurat.2,30" 24 34 24977 59617 0.413793103448276 0.295257346856751 "Seurat" "2,30"
"88" "Seurat.2,50" 26 34 28754 55840 0.433333333333333 0.339905903491973 "Seurat" "2,50"
